item,file/dir,temporary?,autoremove?,big category,subject(study),subject(math),subject(discrete maths),pattern to find,technique,probabilistic,absorber,subject(cs),program verification/theorem proving,subject(program verification/theorem proving),automation,verification system(automation),approach(automation),techniques program verification,machine learning,deep learning?,purpose(study),research where?,document type(study),published?,author(study),who?(author;acquaintance),which duty?,which hobby?
/home/daese/Dropbox/docs/study,dir,,,1,,,,,,,,,,,,,,,,,,,,,,,,
/home/daese/Dropbox/docs/study/research,dir,0,,1,0,,,,,,,,,,,,,,,,2,0,0,,0,,,
